league_player_id,league_player_name,espn_scorecard_display_names,matches_where_appeared,on_these_scorecards
abdul-samad,Abdul Samad,Abdul Samad,1,5th Match
abhinandan-singh,Abhinandan Singh,Abhinandan Singh,1,1st Match
abhishek-porel,Abhishek Porel,,0,
abhishek-sharma,Abhishek Sharma,Abhishek Sharma,2,1st Match; 6th Match
adam-milne,Adam Milne,,0,
aiden-markram,Aiden Markram,AK Markram,1,5th Match
ajay-mandal,Ajay Mandal,,0,
ajinkya-rahane,Ajinkya Rahane,AM Rahane,2,2nd Match; 6th Match
akash-deep,Akash Deep,,0,
akash-singh,Akash Singh,,0,
akeal-hosein,Akeal Hosein,,0,
akshat-raghuwanshi,Akshat Raghuwanshi,,0,
am-ghazanfar,AM Ghazanfar,AM Ghazanfar,1,2nd Match
aman-khan,Aman Khan,,0,
aman-rao,Aman Rao,,0,
amit-kumar,Amit Kumar,,0,
angkrish-raghuvanshi,Angkrish Raghuvanshi,A Raghuvanshi,2,2nd Match; 6th Match
aniket-verma,Aniket Verma,AU Verma,2,1st Match; 6th Match
anrich-nortje,Anrich Nortje,A Nortje,1,5th Match
anshul-kamboj,Anshul Kamboj,A Kamboj,2,3rd Match; 7th Match
anuj-rawat,Anuj Rawat,,0,
anukul-roy,Anukul Roy,AS Roy,2,2nd Match; 6th Match
arjun-tendulkar,Arjun Tendulkar,,0,
arshad-khan,Arshad Khan,,0,
arshdeep-singh,Arshdeep Singh,Arshdeep Singh,2,4th Match; 7th Match
arshin-kulkarni,Arshin Kulkarni,,0,
ashok-sharma,Ashok Sharma,Ashok Sharma,2,4th Match; 9th Match
ashutosh-sharma,Ashutosh Sharma,,0,
ashwani-kumar,Ashwani Kumar,,0,
atharva-ankolekar,Atharva Ankolekar,,0,
auqib-nabi,Auqib Nabi,,0,
avesh-kumar,Avesh Kumar,,0,
axar-patel,Axar Patel,AR Patel,2,5th Match; 8th Match
ayush-badoni,Ayush Badoni,A Badoni,1,5th Match
ayush-mhatre,Ayush Mhatre,A Mhatre,2,3rd Match; 7th Match
azmatullah-omarzai,Azmatullah Omarzai,,0,
ben-duckett,Ben Duckett,,0,
ben-dwarshuis,Ben Dwarshuis,,0,
bhuvneshwar-kumar,Bhuvneshwar Kumar,B Kumar,1,1st Match
blessing-muzarabani,Blessing Muzarabani,B Muzarabani,2,2nd Match; 6th Match
brijesh-sharma,Brijesh Sharma,Brijesh Sharma,1,3rd Match
brydon-carse,Brydon Carse,,0,
cameron-green,Cameron Green,C Green,2,2nd Match; 6th Match
cooper-connolly,Cooper Connolly,CPL Connolly,2,4th Match; 7th Match
corbin-bosch,Corbin Bosch,C Bosch,1,8th Match
daksh-kamra,Daksh Kamra,,0,
danish-malewar,Danish Malewar,,0,
dasun-shanaka,Dasun Shanaka,,0,
david-miller,David Miller,DA Miller,2,5th Match; 8th Match
david-payne,David Payne,DA Payne,2,1st Match; 6th Match
deepak-chahar,Deepak Chahar,DL Chahar,1,8th Match
devdutt-padikkal,Devdutt Padikkal,D Padikkal,1,1st Match
dewald-brevis,Dewald Brevis,,0,
dhruv-jurel,Dhruv Jurel,DC Jurel,2,3rd Match; 9th Match
digvesh-rathi,Digvesh Rathi,,0,
donovan-ferreira,Donovan Ferreira,D Ferreira,1,9th Match
dushmantha-chameera,Dushmantha Chameera,,0,
eshan-malinga,Eshan Malinga,E Malinga,2,1st Match; 6th Match
finn-allen,Finn Allen,FH Allen,2,2nd Match; 6th Match
glenn-phillips,Glenn Phillips,GD Phillips,2,4th Match; 9th Match
gurjapneet-singh,Gurjapneet Singh,,0,
gurnoor-brar,Gurnoor Brar,,0,
hardik-pandya,Hardik Pandya,HH Pandya,1,2nd Match
harnoor-singh,Harnoor Singh,,0,
harpreet-brar,Harpreet Brar,,0,
harsh-dubey,Harsh Dubey,HS Dubey,2,1st Match; 6th Match
harshal-patel,Harshal Patel,HV Patel,1,1st Match
harshit-rana,Harshit Rana,,0,
heinrich-klaasen,Heinrich Klaasen,H Klaasen,2,1st Match; 6th Match
himmat-singh,Himmat Singh,,0,
ishan-kishan,Ishan Kishan,Ishan Kishan,2,1st Match; 6th Match
ishant-sharma,Ishant Sharma,,0,
jack-edwards,Jack Edwards,,0,
jacob-bethell,Jacob Bethell,,0,
jacob-duffy,Jacob Duffy,JA Duffy,1,1st Match
jamie-overton,Jamie Overton,J Overton,1,3rd Match
jason-holder,Jason Holder,,0,
jasprit-bumrah,Jasprit Bumrah,JJ Bumrah,2,2nd Match; 8th Match
jayant-yadav,Jayant Yadav,,0,
jaydev-unadkat,Jaydev Unadkat,JD Unadkat,2,1st Match; 6th Match
jitesh-sharma,Jitesh Sharma,JM Sharma,1,1st Match
jofra-archer,Jofra Archer,JC Archer,2,3rd Match; 9th Match
jordan-cox,Jordan Cox,,0,
jos-buttler,Jos Buttler,JC Buttler,2,4th Match; 9th Match
josh-hazlewood,Josh Hazlewood,,0,
josh-inglis,Josh Inglis,,0,
kagiso-rabada,Kagiso Rabada,K Rabada,2,4th Match; 9th Match
kamindu-mendis,Kamindu Mendis,,0,
kanishk-chouhan,Kanishk Chouhan,,0,
kartik-sharma,Kartik Sharma,Kartik Sharma,2,3rd Match; 7th Match
kartik-tyagi,Kartik Tyagi,Kartik Tyagi,2,2nd Match; 6th Match
karun-nair,Karun Nair,,0,
khaleel-ahmed,Khaleel Ahmed,KK Ahmed,2,3rd Match; 7th Match
kl-rahul,KL Rahul,KL Rahul,2,5th Match; 8th Match
krains-fuletra,Krains Fuletra,,0,
krunal-pandya,Krunal Pandya,KH Pandya,1,1st Match
kuldeep-sen,Kuldeep Sen,,0,
kuldeep-yadav,Kuldeep Yadav,Kuldeep Yadav,2,5th Match; 8th Match
kulwant-khejroliya,Kulwant Khejroliya,,0,
kumar-kushagra,Kumar Kushagra,K Kushagra,1,9th Match
kwena-maphaka,Kwena Maphaka,,0,
kyle-jamieson,Kyle Jamieson,,0,
lhuan-dre-pretorius,Lhuan-dre Pretorius,,0,
liam-livingstone,Liam Livingstone,,0,
lockie-ferguson,Lockie Ferguson,,0,
luke-wood,Luke Wood,,0,
lungi-ngidi,Lungi Ngidi,L Ngidi,2,5th Match; 8th Match
shahrukh-khan,M Shahrukh Khan,M Shahrukh Khan,2,4th Match; 9th Match
madhav-tiwari,Madhav Tiwari,,0,
manav-suthar,Manav Suthar,,0,
mangesh-yadav,Mangesh Yadav,,0,
manimaran-siddharth,Manimaran Siddharth,,0,
manish-pandey,Manish Pandey,,0,
marco-jansen,Marco Jansen,M Jansen,2,4th Match; 7th Match
marcus-stoinis,Marcus Stoinis,MP Stoinis,2,4th Match; 7th Match
matheesha-pathirana,Matheesha Pathirana,,0,
matt-henry,Matt Henry,MJ Henry,2,3rd Match; 7th Match
matthew-breetzke,Matthew Breetzke,,0,
matthew-short,Matthew Short,MW Short,1,3rd Match
mayank-markande,Mayank Markande,M Markande,2,2nd Match; 8th Match
mayank-rawat,Mayank Rawat,,0,
mayank-yadav,Mayank Yadav,,0,
mitchell-marsh,Mitchell Marsh,MR Marsh,1,5th Match
mitchell-owen,Mitchell Owen,,0,
mitchell-santner,Mitchell Santner,MJ Santner,1,8th Match
mitchell-starc,Mitchell Starc,,0,
mohammed-shami,Mohammed Shami,Mohammed Shami,1,5th Match
mohammed-siraj,Mohammed Siraj,Mohammed Siraj,2,4th Match; 9th Match
mohd-izhar,Mohd Izhar,,0,
mohsin-khan,Mohsin Khan,Mohsin Khan,1,5th Match
ms-dhoni,MS Dhoni,,0,
mukesh-choudhary,Mukesh Choudhary,,0,
mukesh-kumar,Mukesh Kumar,Mukesh Kumar,2,5th Match; 8th Match
mukul-choudhary,Mukul Choudhary,MD Choudhary,1,5th Match
musheer-khan,Musheer Khan,,0,
naman-dhir,Naman Dhir,Naman Dhir,2,2nd Match; 8th Match
naman-tiwari,Naman Tiwari,,0,
nandre-burger,Nandre Burger,N Burger,2,3rd Match; 9th Match
nathan-ellis,Nathan Ellis,,0,
navdeep-saini,Navdeep Saini,,0,
nehal-wadhera,Nehal Wadhera,N Wadhera,2,4th Match; 7th Match
nicholas-pooran,Nicholas Pooran,N Pooran,1,5th Match
nishant-sindhu,Nishant Sindhu,,0,
nitish-kumar-reddy,Nitish Kumar Reddy,K Nitish Kumar Reddy,2,1st Match; 6th Match
nitish-rana,Nitish Rana,N Rana,2,5th Match; 8th Match
noor-ahmad,Noor Ahmad,Noor Ahmad,2,3rd Match; 7th Match
nuwan-thushara,Nuwan Thushara,,0,
onkar-tarmale,Onkar Tarmale,,0,
pat-cummins,Pat Cummins,,0,
pathum-nissanka,Pathum Nissanka,P Nissanka,2,5th Match; 8th Match
phil-salt,Phil Salt,PD Salt,1,1st Match
prabhsimran-singh,Prabhsimran Singh,Prabhsimran Singh,2,4th Match; 7th Match
praful-hinge,Praful Hinge,,0,
prashant-solanki,Prashant Solanki,,0,
prashant-veer,Prashant Veer,PR Veer,1,7th Match
prasidh-krishna,Prasidh Krishna,M Prasidh Krishna,2,4th Match; 9th Match
praveen-dubey,Praveen Dubey,,0,
prince-yadav,Prince Yadav,Prince Yadav,1,5th Match
prithvi-raj,Prithvi Raj,,0,
prithvi-shaw,Prithvi Shaw,,0,
priyansh-arya,Priyansh Arya,P Arya,2,4th Match; 7th Match
pyla-avinash,Pyla Avinash,,0,
quinton-de-kock,Quinton de Kock,,0,
rachin-ravindra,Rachin Ravindra,,0,
raghu-sharma,Raghu Sharma,,0,
rahul-chahar,Rahul Chahar,RD Chahar,1,7th Match
rahul-tewatia,Rahul Tewatia,R Tewatia,2,4th Match; 9th Match
rahul-tripathi,Rahul Tripathi,,0,
raj-bawa,Raj Bawa,,0,
rajat-patidar,Rajat Patidar,RM Patidar,1,1st Match
ramakrishna-ghosh,Ramakrishna Ghosh,,0,
ramandeep-singh,Ramandeep Singh,Ramandeep Singh,2,2nd Match; 6th Match
rashid-khan,Rashid Khan,Rashid Khan,2,4th Match; 9th Match
rasikh-salam,Rasikh Salam,,0,
ravi-bishnoi,Ravi Bishnoi,Ravi Bishnoi,2,3rd Match; 9th Match
ravi-singh,Ravi Singh,,0,
ravichandran-smaran,Ravichandran Smaran,,0,
ravindra-jadeja,Ravindra Jadeja,RA Jadeja,2,3rd Match; 9th Match
rinku-singh,Rinku Singh,RK Singh,2,2nd Match; 6th Match
rishabh-pant,Rishabh Pant,RR Pant,1,5th Match
riyan-parag,Riyan Parag,R Parag,2,3rd Match; 9th Match
robin-minz,Robin Minz,,0,
rohit-sharma,Rohit Sharma,RG Sharma,2,2nd Match; 8th Match
romario-shepherd,Romario Shepherd,R Shepherd,1,1st Match
rovman-powell,Rovman Powell,,0,
ruturaj-gaikwad,Ruturaj Gaikwad,RD Gaikwad,2,3rd Match; 7th Match
ryan-rickelton,Ryan Rickelton,RD Rickelton,2,2nd Match; 8th Match
sahil-parakh,Sahil Parakh,,0,
sai-kishore,Sai Kishore,,0,
sai-sudharsan,Sai Sudharsan,B Sai Sudharsan,2,4th Match; 9th Match
sakib-hussain,Sakib Hussain,,0,
salil-arora,Salil Arora,S Arora,2,1st Match; 6th Match
sam-curran,Sam Curran,,0,
sameer-rizvi,Sameer Rizvi,Sameer Rizvi,2,5th Match; 8th Match
sandeep-sharma,Sandeep Sharma,Sandeep Sharma,2,3rd Match; 9th Match
sanju-samson,Sanju Samson,SV Samson,2,3rd Match; 7th Match
sarfaraz-khan,Sarfaraz Khan,SN Khan,2,3rd Match; 7th Match
sarthak-ranjan,Sarthak Ranjan,,0,
satvik-deswal,Satvik Deswal,,0,
saurabh-dubey,Saurabh Dubey,,0,
shahbaz-ahmed,Shahbaz Ahmed,Shahbaz Ahmed,1,5th Match
shardul-thakur,Shardul Thakur,SN Thakur,2,2nd Match; 8th Match
shashank-singh,Shashank Singh,Shashank Singh,2,4th Match; 7th Match
sherfane-rutherford,Sherfane Rutherford,SE Rutherford,2,2nd Match; 8th Match
shimron-hetmyer,Shimron Hetmyer,SO Hetmyer,2,3rd Match; 9th Match
shivam-dube,Shivam Dube,S Dube,2,3rd Match; 7th Match
shivam-mavi,Shivam Mavi,,0,
shivang-kumar,Shivang Kumar,Shivang Kumar,1,6th Match
shreyas-gopal,Shreyas Gopal,,0,
shreyas-iyer,Shreyas Iyer,SS Iyer,2,4th Match; 7th Match
shubham-dubey,Shubham Dubey,,0,
shubman-gill,Shubman Gill,Shubman Gill,1,4th Match
spencer-johnson,Spencer Johnson,,0,
sunil-narine,Sunil Narine,SP Narine,2,2nd Match; 6th Match
suryakumar-yadav,Suryakumar Yadav,SA Yadav,2,2nd Match; 8th Match
suryansh-shedge,Suryansh Shedge,,0,
sushant-mishra,Sushant Mishra,,0,
suyash-sharma,Suyash Sharma,Suyash Sharma,1,1st Match
swapnil-singh,Swapnil Singh,,0,
t-natarajan,T Natarajan,T Natarajan,2,5th Match; 8th Match
tejasvi-dahiya,Tejasvi Dahiya,,0,
tilak-varma,Tilak Varma,NT Tilak Varma,2,2nd Match; 8th Match
tim-david,Tim David,TH David,1,1st Match
tim-seifert,Tim Seifert,,0,
tom-banton,Tom Banton,,0,
travis-head,Travis Head,TM Head,2,1st Match; 6th Match
trent-boult,Trent Boult,TA Boult,1,2nd Match
tripurana-vijay,Tripurana Vijay,,0,
tristan-stubbs,Tristan Stubbs,T Stubbs,2,5th Match; 8th Match
tushar-deshpande,Tushar Deshpande,TU Deshpande,1,9th Match
umran-malik,Umran Malik,,0,
urvil-patel,Urvil Patel,,0,
vaibhav-arora,Vaibhav Arora,VG Arora,2,2nd Match; 6th Match
vaibhav-sooryavanshi,Vaibhav Sooryavanshi,V Sooryavanshi,2,3rd Match; 9th Match
varun-chakravarthy,Varun Chakravarthy,CV Varun,2,2nd Match; 6th Match
venkatesh-iyer,Venkatesh Iyer,,0,
vicky-ostwal,Vicky Ostwal,,0,
vignesh-puthur,Vignesh Puthur,,0,
vihaan-malhotra,Vihaan Malhotra,,0,
vijaykumar-vyshak,Vijaykumar Vyshak,V Vyshak,2,4th Match; 7th Match
vipraj-nigam,Vipraj Nigam,V Nigam,2,5th Match; 8th Match
virat-kohli,Virat Kohli,V Kohli,1,1st Match
vishal-nishad,Vishal Nishad,,0,
vishnu-vinod,Vishnu Vinod,,0,
wanindu-hasaranga,Wanindu Hasaranga,,0,
washington-sundar,Washington Sundar,Washington Sundar,2,4th Match; 9th Match
will-jacks,Will Jacks,,0,
xavier-bartlett,Xavier Bartlett,XC Bartlett,2,4th Match; 7th Match
yash-dayal,Yash Dayal,,0,
yash-raj-punja,Yash Raj Punja,,0,
yash-thakur,Yash Thakur,,0,
yashasvi-jaiswal,Yashasvi Jaiswal,YBK Jaiswal,2,3rd Match; 9th Match
yudhvir-singh,Yudhvir Singh,,0,
yuzvendra-chahal,Yuzvendra Chahal,YS Chahal,2,4th Match; 7th Match
zak-foulkes,Zak Foulkes,,0,
zeeshan-ansari,Zeeshan Ansari,,0,